2026-09-13 01:02:51,437 INFO tickers active=True: 13181
2026-09-13 01:03:12,813 INFO tickers active=False: 23407
2026-09-13 01:03:16,643 INFO tickers saved: 36588 rows, cols ['ticker', 'name', 'market', 'locale', 'primary_exchange', 'type', 'active', 'currency_name', 'cik', 'composite_figi', 'share_class_figi', 'last_updated_utc', 'delisted_utc']
2026-09-13 01:03:43,011 INFO splits saved: 27541 rows, 1978-10-25 .. 2026-12-17
2026-09-13 01:04:38,610 INFO 2004: 252 days ok, 10 empty (holidays), 0 FAILED [], 1935189 rows, 35.1 MB, 56s, calls so far 328
2026-09-13 01:05:25,465 INFO 2005: 252 days ok, 8 empty (holidays), 0 FAILED [], 1934750 rows, 35.6 MB, 47s, calls so far 588
2026-09-13 01:06:13,471 INFO 2006: 251 days ok, 9 empty (holidays), 0 FAILED [], 1932790 rows, 36.1 MB, 48s, calls so far 848
2026-09-13 01:07:00,773 INFO 2007: 251 days ok, 10 empty (holidays), 0 FAILED [], 1974279 rows, 37.5 MB, 47s, calls so far 1109
2026-09-13 01:08:09,550 INFO 2008: 253 days ok, 9 empty (holidays), 0 FAILED [], 1995235 rows, 38.6 MB, 69s, calls so far 1371
2026-09-13 01:08:57,464 INFO 2009: 252 days ok, 9 empty (holidays), 0 FAILED [], 1892293 rows, 37.0 MB, 48s, calls so far 1632
2026-09-13 01:09:51,572 INFO 2010: 252 days ok, 9 empty (holidays), 0 FAILED [], 1876075 rows, 37.2 MB, 54s, calls so far 1893
2026-09-13 01:10:53,975 INFO 2011: 252 days ok, 8 empty (holidays), 0 FAILED [], 1879131 rows, 37.7 MB, 62s, calls so far 2153
2026-09-13 01:11:45,645 INFO 2012: 250 days ok, 11 empty (holidays), 0 FAILED [], 1849358 rows, 37.4 MB, 52s, calls so far 2414
2026-09-13 01:12:36,329 INFO 2013: 252 days ok, 9 empty (holidays), 0 FAILED [], 1874439 rows, 38.4 MB, 51s, calls so far 2675
2026-09-13 01:15:02,211 INFO 2014: 252 days ok, 9 empty (holidays), 0 FAILED [], 1938492 rows, 40.2 MB, 146s, calls so far 2936
2026-09-13 01:15:52,149 INFO 2015: 252 days ok, 9 empty (holidays), 0 FAILED [], 1979385 rows, 41.3 MB, 50s, calls so far 3197
2026-09-13 01:17:09,416 INFO 2016: 252 days ok, 9 empty (holidays), 0 FAILED [], 1984727 rows, 41.8 MB, 77s, calls so far 3458
2026-09-13 01:18:02,013 INFO 2017: 251 days ok, 9 empty (holidays), 0 FAILED [], 2003087 rows, 42.5 MB, 53s, calls so far 3718
2026-09-13 01:18:53,575 INFO 2018: 251 days ok, 10 empty (holidays), 0 FAILED [], 2048018 rows, 43.9 MB, 52s, calls so far 3979
2026-09-13 01:20:13,051 INFO 2019: 252 days ok, 9 empty (holidays), 0 FAILED [], 2134905 rows, 47.1 MB, 79s, calls so far 4240
2026-09-13 01:21:05,055 INFO 2020: 253 days ok, 9 empty (holidays), 0 FAILED [], 2217421 rows, 49.4 MB, 52s, calls so far 4502
2026-09-13 01:22:04,910 INFO 2021: 252 days ok, 9 empty (holidays), 0 FAILED [], 2620227 rows, 57.7 MB, 60s, calls so far 4763
2026-09-13 01:23:01,266 INFO 2022: 251 days ok, 9 empty (holidays), 0 FAILED [], 2795076 rows, 61.3 MB, 56s, calls so far 5023
2026-09-13 01:24:48,509 INFO 2023: 250 days ok, 10 empty (holidays), 0 FAILED [], 2663316 rows, 59.0 MB, 107s, calls so far 5283
2026-09-13 01:25:40,683 INFO 2024: 252 days ok, 10 empty (holidays), 0 FAILED [], 2665119 rows, 59.9 MB, 52s, calls so far 5545
2026-09-13 01:26:37,787 INFO 2025: 250 days ok, 11 empty (holidays), 0 FAILED [], 2814310 rows, 64.3 MB, 57s, calls so far 5806
2026-09-13 01:27:31,397 INFO 2026: 174 days ok, 8 empty (holidays), 0 FAILED [], 2114902 rows, 54.2 MB, 54s, calls so far 5988
2026-09-13 01:27:31,417 INFO DONE. total calls 5988
