experiment_id,timestamp_hkt,hypothesis_version,universe,period,data_and_features,rule_or_model,key_parameters,main_result,retained,reason
E00,2026-09-13 02:13,H1 v1 (post minus pre per-day AR on breakout events),as E01,both,as E01,leg decomposition,"W=10,H=40",-2.27%/day: pre leg +2.28%/day is conditioned on the crossing,no,statistic mechanically dominated by selection; replaced by matched-path primary (E01) before the grid was run
E01,2026-09-13 02:13,"H1 v2 (timing, matched-path primary) + secondary B vs A","14,770 top-decile events, US CS, >=$5, >=$1M med $vol, 2005-2026",2005-2014 selection / 2015-2026 hold-out,EDGAR Item 2.02 acceptance time; Massive daily bars unadjusted + splits; SPY excess,A open(1)->close(H); B breakout entry open(k+1); C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.34% [-0.87,+0.20]; 2005-14 -0.92% [-1.41,-0.46]; primary -0.7 bp/d [-3.0,+1.6]; A 2.9 bp/d NW t=2.5",yes,main specification
E02,2026-09-13 02:15,as E01,as E01,both,as E01,as E01,"grid W {5,10,15,20} x H {20,40,60}","primary within +/-3 bp/d everywhere; B-A<0 in 12/12 selection cells; chosen W=15,H=40 hold-out primary -1.6 bp/d [-5.2,+2.0]",yes,full grid disclosed
R00,2026-09-13 02:16,H1: drift concentrated after close > day-0 high,14770 events,2005-2026,EDGAR 2.02 timing; AR0 >= trailing-4Q 90th pct,A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0034 [-0.0087,+0.0020]; PRIMARY -0.7bp/d [-3.0,+1.6]; CAR_A +0.0055; entered 0.61",yes,robustness variant reported in full
R01,2026-09-13 02:16,H1: drift concentrated after close > day-0 high,14770 events,2005-2026,cell chosen on 2005-2014 lower CI,A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=15,H=40","B-A -0.0025 [-0.0074,+0.0027]; PRIMARY -0.4bp/d [-2.7,+1.9]; CAR_A +0.0055; entered 0.66",yes,robustness variant reported in full
R02,2026-09-13 02:16,H1: drift concentrated after close > day-0 high,14770 events,2005-2026,first_day=2,A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0037 [-0.0094,+0.0021]; PRIMARY -0.8bp/d [-3.3,+1.5]; CAR_A +0.0055; entered 0.58",yes,robustness variant reported in full
R03,2026-09-13 02:16,H1: drift concentrated after close > day-0 high,14770 events,2005-2026,B/C/D enter at close(k) instead of open(k+1),A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0041 [-0.0093,+0.0013]; PRIMARY -1.0bp/d [-3.4,+1.3]; CAR_A +0.0055; entered 0.61",yes,robustness variant reported in full
R04,2026-09-13 02:17,H1: drift concentrated after close > day-0 high,26611 events,2005-2026,fixed cutoff instead of trailing percentile,A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0018 [-0.0065,+0.0029]; PRIMARY -0.6bp/d [-2.7,+1.5]; CAR_A +0.0032; entered 0.61",yes,robustness variant reported in full
R05,2026-09-13 02:17,H1: drift concentrated after close > day-0 high,35517 events,2005-2026,AR0 standardised by trailing 60d std,A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0007 [-0.0044,+0.0034]; PRIMARY -0.3bp/d [-1.7,+1.1]; CAR_A +0.0011; entered 0.61",yes,robustness variant reported in full
R06,2026-09-13 02:17,H1: drift concentrated after close > day-0 high,16026 events,2005-2026,adds 09:30-16:00 acceptance times with day 0 = filing date,A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0038 [-0.0088,+0.0012]; PRIMARY -0.7bp/d [-3.0,+1.6]; CAR_A +0.0059; entered 0.61",yes,robustness variant reported in full
R07,2026-09-13 02:17,H1: drift concentrated after close > day-0 high,14770 events,2005-2026,"same stocks, no news; anchor = pseudo-day high",A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0040 [-0.0091,+0.0010]; PRIMARY +0.4bp/d [-3.0,+3.7]; CAR_A +0.0124; entered 0.67",yes,robustness variant reported in full
R08,2026-09-13 02:17,H1: drift concentrated after close > day-0 high,14771 events,2005-2026,"mirrored rules, returns negated",A open(1)->close(H); B breakout entry; C fixed delay 2; D1-D3 unanchored,"W=10,H=40","B-A -0.0050 [-0.0098,+0.0001]; PRIMARY +0.4bp/d [-3.6,+4.2]; CAR_A +0.0056; entered 0.60",yes,robustness variant reported in full
R09,2026-09-13 02:17,tradability,14769 events,2005-2026,"Corwin-Schultz spread days -25..-6, half-spread + 5bp per side",A and B net of costs,"W=10,H=40","net A -0.0052, net B -0.0045, median spread 0.0082",yes,costs reported separately from the hypothesis test
