tau,breakout_events_mean_ar_bp,matched_unconditional_mean_ar_bp,n_obs
-5,-39.68733201802847,4.581561943868341,1450
-4,-19.28386039754119,4.466676894064838,1941
-3,2.6316643643132136,4.832031384189452,2505
-2,28.329814403473492,6.1585524063567565,3425
-1,81.74652653427526,6.880607285968589,4945
0,366.8112503036369,11.317073124508898,8974
1,-6.750039845037669,2.3609204312671883,8974
2,-5.620327995955313,0.3171448257003629,8974
3,-0.7924823015758329,-1.9252387804785152,8974
4,-7.176097098743534,0.30767035624587946,8974
5,-2.0545323725646676,0.15696895241004094,8974
6,-3.550135462337764,2.998486300144586,8974
7,2.2890984702036996,0.889323630379186,8974
8,5.136360305613215,-1.3489063125058995,8974
9,-2.499480435475478,0.8754528001073716,8974
10,2.0605947293522093,3.4966544446721057,8974
11,7.539429096898563,4.770080713363793,8974
12,4.812667834556099,5.482617562386946,8974
13,4.681313265547803,2.4893166277801035,8974
14,-4.9917143766058345,3.589465290488329,8974
15,5.8460135047210535,4.1940923730889415,8974
16,4.017443711908045,3.98640798263624,8974
17,5.12421460621087,3.505573354288746,8974
18,2.9252532845455828,3.446996836568636,8974
19,2.999191824998213,2.856620987244981,8974
20,2.785710793545002,1.3043158734994997,8974
