period,statistic,mean,ci_lo,ci_hi,share_seasons_pos,n_events,n_seasons,m_fixed,share_entered,share_B_entered,median_k_B,n_early_exit
all_2005_2026,CAR_A (open1->closeH),0.00546673370744295,-0.005002350702888434,0.01591074922113962,0.6046511627906976,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,"CAR_B (breakout entry, 0 if flat)",0.0020792127037339444,-0.003584911363109136,0.007956124089548927,0.5581395348837209,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,B minus A,-0.003387521003709006,-0.008726384693717695,0.0020159486991175087,0.37209302325581395,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,CAR_C fixed delay m,0.004526116611810955,-0.005523968488173235,0.014789287567424338,0.6395348837209303,14769,86,2.0,,0.6076240774595436,2.0,17
all_2005_2026,C minus A,-0.0009406170956319954,-0.002538623916244403,0.0005976338816858404,0.5,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,CAR_D1,0.003997548202024297,-0.0034140872676647577,0.01159216347777544,0.6046511627906976,14769,86,,0.7868508362109825,0.6076240774595436,2.0,17
all_2005_2026,D1 minus A,-0.0014691855054186536,-0.005017774827640613,0.002167191831093494,0.3953488372093023,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,CAR_D2,0.0008236886293384259,-0.00350775911861463,0.005207813270884072,0.5348837209302325,14769,86,,0.4049698693208748,0.6076240774595436,2.0,17
all_2005_2026,D2 minus A,-0.004643045078104524,-0.011189157635455322,0.0021391166538903914,0.36046511627906974,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,CAR_D3,0.0011619877308267899,-0.00422817823043644,0.006546206759680395,0.5581395348837209,14769,86,,0.5853476877242874,0.6076240774595436,2.0,17
all_2005_2026,D3 minus A,-0.004304745976616161,-0.010088238694992608,0.0016145049491746281,0.36046511627906974,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,per-day AR pre-breakout leg (breakout events),0.022800225190598048,0.021481823438958728,0.024072691576240715,1.0,8974,86,,,0.6076240774595436,2.0,17
all_2005_2026,per-day AR post-breakout leg (breakout events),9.022462780036438e-05,-0.00015879988093286612,0.00034774727414500767,0.5348837209302325,8974,86,,,0.6076240774595436,2.0,17
all_2005_2026,per-day AR non-breakout events (1..H),-0.0012752947560675646,-0.0015706033191893673,-0.0009823603996149959,0.1511627906976744,5795,86,,,0.6076240774595436,2.0,17
all_2005_2026,per-day AR all events (Rule A),0.00013666834268607377,-0.0001250587675722109,0.00039776873052849046,0.6046511627906976,14769,86,,,0.6076240774595436,2.0,17
all_2005_2026,post minus pre per-day AR (breakout events; pre leg conditioned on the crossing; descriptive only),-0.022710000562797688,-0.024056758946584246,-0.021337741801955468,0.0,8974,86,,,0.6076240774595436,2.0,17
all_2005_2026,post-breakout per-day minus non-breakout per-day,0.001365519383867929,0.0011628333728104007,0.0015581252061631012,,8974,86,,,0.6076240774595436,2.0,17
selection_2005_2014,CAR_A (open1->closeH),0.014259629106683174,0.005658628493092489,0.023468995424159162,0.675,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,"CAR_B (breakout entry, 0 if flat)",0.005099551609583272,0.0001060346914537491,0.010422655245206379,0.65,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,B minus A,-0.009160077497099902,-0.014075934970134554,-0.004566048195186252,0.275,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,CAR_C fixed delay m,0.01187262357230905,0.0037513565160119428,0.020554688082586616,0.7,4803,40,2.0,,0.603372891942536,2.0,4
selection_2005_2014,C minus A,-0.00238700553437412,-0.004174686943019266,-0.0006811483691849255,0.45,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,CAR_D1,0.009695618623129554,0.003122605909040512,0.017045693968498483,0.675,4803,40,,0.7932542161149282,0.603372891942536,2.0,4
selection_2005_2014,D1 minus A,-0.004564010483553616,-0.0074293379627042005,-0.0017165849649130058,0.325,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,CAR_D2,0.0029098911306656467,-0.0005158047073313588,0.006484337342715574,0.575,4803,40,,0.37185092650426815,0.603372891942536,2.0,4
selection_2005_2014,D2 minus A,-0.011349737976017526,-0.01775670995032182,-0.0053069435623507135,0.275,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,CAR_D3,0.003633803067559336,-0.0011367192928300003,0.008836673793226073,0.6,4803,40,,0.5942119508640433,0.603372891942536,2.0,4
selection_2005_2014,D3 minus A,-0.010625826039123836,-0.01550493270118551,-0.005728089824651632,0.275,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,per-day AR pre-breakout leg (breakout events),0.01880410250238189,0.016985540838315775,0.020787771702838572,1.0,2898,40,,,0.603372891942536,2.0,4
selection_2005_2014,per-day AR post-breakout leg (breakout events),0.00022057928324138406,-4.592909295297898e-06,0.00045456694975505493,0.6,2898,40,,,0.603372891942536,2.0,4
selection_2005_2014,per-day AR non-breakout events (1..H),-0.0006816812466219288,-0.0009069602158854773,-0.0004202226403490653,0.175,1905,40,,,0.603372891942536,2.0,4
selection_2005_2014,per-day AR all events (Rule A),0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,0.675,4803,40,,,0.603372891942536,2.0,4
selection_2005_2014,post minus pre per-day AR (breakout events; pre leg conditioned on the crossing; descriptive only),-0.018583523219140505,-0.020599449979586414,-0.016727229290944133,0.0,2898,40,,,0.603372891942536,2.0,4
selection_2005_2014,post-breakout per-day minus non-breakout per-day,0.0009022605298633128,0.0007126579162397318,0.0011042056369920522,,2898,40,,,0.603372891942536,2.0,4
holdout_2015_2026,CAR_A (open1->closeH),0.0012290980860752226,-0.012926742340962066,0.015492887110560667,0.5434782608695652,9966,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,"CAR_B (breakout entry, 0 if flat)",0.0006235948264718225,-0.007115144910969929,0.008654854927043206,0.4782608695652174,9966,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,B minus A,-0.0006055032596033993,-0.007700995432229203,0.006738352554599436,0.45652173913043476,9966,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,CAR_C fixed delay m,0.0009855513969532035,-0.012871884960029818,0.015078026136653759,0.5869565217391305,9966,46,2.0,,0.6096728878185832,2.0,13
holdout_2015_2026,C minus A,-0.00024354668912201892,-0.0023941212069202938,0.0018629311772538684,0.5434782608695652,9966,46,,,0.6096728878185832,2.0,13
