label,n_events,share_entered_B,median_k,CAR_A,CAR_A_lo,CAR_A_hi,CAR_B,CAR_B_lo,CAR_B_hi,B_minus_A,B_minus_A_lo,B_minus_A_hi,C_minus_A,C_minus_A_lo,C_minus_A_hi,D1_minus_A,D1_minus_A_lo,D1_minus_A_hi,D2_minus_A,D2_minus_A_lo,D2_minus_A_hi,D3_minus_A,D3_minus_A_lo,D3_minus_A_hi,perday_post,perday_post_lo,perday_post_hi,perday_A,perday_A_lo,perday_A_hi,PRIMARY_post_minus_matched,PRIMARY_lo,PRIMARY_hi,matched_control_perday,variant,period,W,H,m_fixed
base top-decile trailing threshold | all,14769,0.6076240774595436,2.0,0.00546673370744295,-0.005002350702888434,0.01591074922113962,0.0020792127037339444,-0.003584911363109136,0.007956124089548927,-0.003387521003709006,-0.008726384693717695,0.0020159486991175087,-0.0009406170956319954,-0.002538623916244403,0.0005976338816858404,-0.0014691855054186536,-0.005017774827640613,0.002167191831093494,-0.004643045078104524,-0.011189157635455322,0.0021391166538903914,-0.004304745976616161,-0.010088238694992608,0.0016145049491746281,9.022462780036438e-05,-0.00015879988093286612,0.00034774727414500767,0.00013666834268607377,-0.0001250587675722109,0.00039776873052849046,-8.54602466033204e-05,-0.00015175742618000083,-1.9519221924277966e-05,0.00017568487440368477,base top-decile trailing threshold,all,10,40,2.0
base top-decile trailing threshold | selection,4803,0.603372891942536,2.0,0.014259629106683174,0.005658628493092489,0.023468995424159162,0.005099551609583272,0.0001060346914537491,0.010422655245206379,-0.009160077497099902,-0.014075934970134554,-0.004566048195186252,-0.00238700553437412,-0.004174686943019266,-0.0006811483691849255,-0.004564010483553616,-0.0074293379627042005,-0.0017165849649130058,-0.011349737976017526,-0.01775670995032182,-0.0053069435623507135,-0.010625826039123836,-0.01550493270118551,-0.005728089824651632,0.00022057928324138406,-4.592909295297898e-06,0.00045456694975505493,0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,-0.0001483538968212398,-0.00023505570562483473,-5.8926316404544056e-05,0.0003689331800626239,base top-decile trailing threshold,selection,10,40,2.0
base top-decile trailing threshold | holdout,9966,0.6096728878185832,2.0,0.0012290980860752226,-0.012926742340962066,0.015492887110560667,0.0006235948264718225,-0.007115144910969929,0.008654854927043206,-0.0006055032596033993,-0.007700995432229203,0.006738352554599436,-0.00024354668912201892,-0.0023941212069202938,0.0018629311772538684,2.2330084585583493e-05,-0.0049092105636626355,0.004918793116748869,-0.0014108309512054524,-0.0103828482231065,0.0076936984669731,-0.001258373556364869,-0.009007104844632075,0.006753985754657056,2.8050863569278973e-05,-0.000310663949696953,0.0003737784510935213,3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,-5.546258394177816e-05,-0.00014167620828729228,3.066259425437327e-05,8.351344751105714e-05,base top-decile trailing threshold,holdout,10,40,2.0
grid-selected cell W=20 H=60 | all,14769,0.7022140970952672,2.0,0.0021388709913279357,-0.01137459257872082,0.01563294680623305,0.0010769088229819026,-0.007656978882544235,0.010104561543090805,-0.001061962168346033,-0.006438754635987688,0.004427774830553559,-0.0009526404571431382,-0.002551630050197471,0.0006110213576466993,-0.0005870886390333491,-0.004113347655893405,0.0030355119363005383,-0.001661594293929505,-0.008591160226196654,0.005491226317663764,-0.0017698041700785745,-0.007883146859421642,0.004423447930435756,2.8285260711347057e-05,-0.00019808120300780785,0.0002571395508787021,3.56478498554656e-05,-0.00018957654297868028,0.0002605491134372175,-3.683476109329426e-05,-8.32195337696486e-05,7.4547622601445e-06,6.512002180464132e-05,grid-selected cell W=20 H=60,all,20,60,2.0
grid-selected cell W=20 H=60 | selection,4803,0.7056006662502603,2.0,0.009896746779118476,-0.003602659803669749,0.024050421882768437,0.003139900813523903,-0.0061350196778494235,0.01266853012765904,-0.006756845965594572,-0.012194907644549557,-0.001714760978310684,-0.0022541858827184727,-0.004015532672448347,-0.0005705750896158679,-0.003876447989261498,-0.007421580726682109,-0.0006892397832180015,-0.00843609721542731,-0.016261168040623823,-0.0009736925544438199,-0.009680540622933668,-0.01589891706600532,-0.0036626989016374013,7.72392556123826e-05,-0.00016002111110917402,0.00031824933596741556,0.0001649457796519746,-6.004433006116247e-05,0.0004008403647128074,-9.263896770628386e-05,-0.00015197390638989238,-3.517318401149176e-05,0.00016987822331866647,grid-selected cell W=20 H=60,selection,20,60,2.0
grid-selected cell W=20 H=60 | holdout,9966,0.7005819787276741,2.0,-0.0015999487366228908,-0.01930967404373176,0.017294892041207505,8.267336938234254e-05,-0.011541614563843512,0.012423392866823478,0.0016826221060052345,-0.00580932212461752,0.009111768040390827,-0.00032537548834539286,-0.0024591388517499237,0.0017850550921223235,0.0009981805721994235,-0.003851821049400691,0.00588110644295635,0.0016033001002059503,-0.007946674617508143,0.010834132979532424,0.0020426850114449078,-0.006247384840458632,0.010404269709964782,4.523431905903153e-06,-0.0002974107226050117,0.0003153213310780609,-2.666581227704818e-05,-0.0003218279007288627,0.00028824820068679185,-9.747901137490506e-06,-7.196749197684469e-05,5.0031279261378246e-05,1.4271333043393654e-05,grid-selected cell W=20 H=60,holdout,20,60,2.0
trigger from day 2 (exclude day-1 breakouts) | all,14769,0.5827070214638771,2.0,0.00546673370744295,-0.005002350702888434,0.01591074922113962,0.0017649955917368623,-0.003741358274376252,0.007350204042228203,-0.003701738115706089,-0.009366928934523098,0.002059009615922406,-0.0009406170956319954,-0.002538623916244403,0.0005976338816858404,-0.0024070827883978653,-0.00652332844695345,0.0017571460931712136,-0.004791607129374461,-0.011485533349668054,0.0021282590539857074,-0.004304745976616161,-0.010088238694992608,0.0016145049491746281,8.081379484802171e-05,-0.0001763857699482897,0.0003399006282987756,0.00013666834268607377,-0.0001250587675722109,0.00039776873052849046,-9.4450270874083e-05,-0.00016285135024641704,-2.4183723797878033e-05,0.0001752640657221047,trigger from day 2 (exclude day-1 breakouts),all,10,40,2.0
trigger from day 2 (exclude day-1 breakouts) | selection,4803,0.5808869456589631,2.0,0.014259629106683174,0.005658628493092489,0.023468995424159162,0.0038574568770328894,-0.0009784333933562685,0.008994968405847025,-0.010402172229650283,-0.01567074576039557,-0.005490986957234088,-0.00238700553437412,-0.004174686943019266,-0.0006811483691849255,-0.006853027833181907,-0.010460780087984794,-0.0033152485886272396,-0.012046507794129366,-0.01835891421162807,-0.00600324178456861,-0.010625826039123836,-0.01550493270118551,-0.005728089824651632,0.0001796154768599308,-4.8064878486132884e-05,0.00041661284009773103,0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,-0.00018597553791527472,-0.0002854113517587212,-8.628032723887644e-05,0.00036559101477520554,trigger from day 2 (exclude day-1 breakouts),selection,10,40,2.0
trigger from day 2 (exclude day-1 breakouts) | holdout,9966,0.5835841862331929,2.0,0.0012290980860752226,-0.012926742340962066,0.015492887110560667,0.0007565577477395894,-0.006698973191655611,0.008504783674567216,-0.00047254033833563265,-0.008147002087630199,0.007374064653482205,-0.00024354668912201892,-0.0023941212069202938,0.0018629311772538684,-0.000264410296917055,-0.005927432009005028,0.005368642254147383,-0.0012951905236331582,-0.010638189018853744,0.008216115441658216,-0.001258373556364869,-0.009007104844632075,0.006753985754657056,3.341752717036932e-05,-0.0003160121084042143,0.0003935430139351146,3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,-5.0544580529357275e-05,-0.00013901869814810305,3.683500385497723e-05,8.396210769972657e-05,trigger from day 2 (exclude day-1 breakouts),holdout,10,40,2.0
market-on-close entry for signal rules | all,14769,0.6076240774595436,2.0,0.00546673370744295,-0.005002350702888434,0.01591074922113962,0.0013912277690062542,-0.0042699219713649,0.007294524103121919,-0.0040755059384366965,-0.00934094487654357,0.0013344671540296126,-0.001464542353014994,-0.003011269710519813,2.895542797965969e-05,-0.002319761471704612,-0.0058522044705484515,0.0012772474364789528,-0.005023684551740672,-0.01157826767967606,0.0017595080392317525,-0.004668929639596275,-0.010420196295864475,0.001234811210921836,6.002531003069057e-05,-0.00018940819074919843,0.0003168853634244848,0.00013666834268607377,-0.0001250587675722109,0.00039776873052849046,-0.00011565956437299423,-0.0001822077600967729,-5.02454401036263e-05,0.00017568487440368477,market-on-close entry for signal rules,all,10,40,2.0
